audiocaps_id,source_audio_prompt,target_audio_prompt
107055,"Metal clattering and rattling is ongoing, along with brief hissing, while many people talk in the background","Metal clattering and rattling is ongoing, along with brief hissing, while a crowd of people cheers and applauds in the background"
106335,"Wind noise while a water vehicle is traveling across water, and a man talks","Gentle breeze while a water vehicle is traveling across water, and a man talks"
105960,A bus engine slowing down then accelerating,"A loud, powerful bus engine slowing down with a deep growl, then accelerating with a forceful roar"
104892,Leaves rustling in the wind with dogs barking and birds chirping,Leaves rustling in the wind with dogs barking and an owl hooting
107396,A distant engine hums and gets louder as it approaches with squealing tires,"A distant, high-pitched engine whine grows louder as it approaches with squealing tires"
103383,A man talking as a man is snoring,A man talking as a second man is breathing heavily
104475,Female speech followed by a thumping noise,Male speech followed by a thumping noise
103006,A man speaking softly,"A man speaking in a low, resonant baritone"
104855,A man speaks with a small motor buzzing and wind blowing,A woman speaks with a small motor buzzing and wind blowing
104757,Motorcycle engine running,"A motorcycle engine shutting off, followed by the jangling of keys"
103951,A baby and a woman laugh,A woman laughs while a baby gurgles contentedly
107093,Hissing and clinking,Pressurized steam escaping and clinking
105988,A vehicle horn is repeatedly tooting followed by a passing engine rumble,A vehicle horn is repeatedly tooting followed by the clear sound of tires moving over a wet road surface
105731,A object is hitting a surface followed by a loud boom,"An object is hitting a surface followed by a soft, resonant hum"
106384,Footsteps are followed by oinking and then a squeal,Crunching gravel is followed by oinking and then a squeal
105617,Sizzling and a female speaking,Sizzling and a man speaking
106551,An emergency vehicle has the siren on,A fire truck has the siren on
106777,Insects buzzing followed by plastic camera muffling and a kid speaking then footsteps walking on foliage,Insects buzzing followed by plastic camera muffling and a kid speaking then footsteps walking on gravel
106827,A man speaks followed by a child crying and then a woman speaking,A man speaks followed by a toddler giggling and babbling and then a woman speaking
104934,A person breathes heavily and sneezes,"A person breathes heavily, then breaks into a rapid, successive coughing fit"
103878,A distorted gasping followed by footsteps walking on a hard surface and people grunting while a beating sounds in the background as a series of gunshots fire,A distorted gasping followed by footsteps running on a hard surface and people grunting while a beating sounds in the background as a series of gunshots fire
103594,Humming and vibrations of a vehicle speeding past and into the distance,Humming and vibrations of a vehicle passing slowly and into the distance
106668,Wind blowing and water splashing,Water splashing with a gentle breeze rustling through leaves
106727,Frogs croaking together with a man speaking followed by rustling,Frogs croaking together with a calm female voice giving instructions followed by rustling
104670,"Metal clinks five times, a coin drops, knocking on glass occurs, a coin drops again, and a small child speaks","Metal clinks five times, a coin drops, knocking on glass occurs, a coin drops again, and an adult speaks a cheerful greeting"
105127,"Snoring is ongoing, while an adult female laughs and an adult male speaks","Snoring is ongoing, an adult female laughs, and an adult male mumbles indistinctly"
105444,A sewing machine operating several times followed by metal clanking,A sewing machine operating several times followed by a heavy iron door slamming shut
104047,A man speaks with distant birds chirping and a small loud chirp,A man sings a short melody with distant birds chirping and a small loud chirp
104090,A television plays in the distant background and then a sewing machine starts up,"A television plays in the distant background and then a coffee grinder operates, producing a loud, whirring sound of beans being ground"
106576,A stream of water flowing as the wind blows,A stream of water flowing as a gentle gust of wind blows
103012,A clock ticks with breathing in the background,"A clock ticks with loud, labored breathing in the background"
104008,A woman speaks with some clicks and then hissing,A robotic and synthetic voice speaks with some clicks and then hissing
103407,Some light banging followed by water splashing,The sound of breaking glass followed by water splashing
106042,A man talking as water splashes and gurgles and a motor engine hums in the background,"A man talking as water splashes and gurgles with a steady, soft rainfall in the background"
104323,Horses trotting while wood clanks several times as a woman talks and birds chirp in the background alongside wind blowing into a microphone,Horses trotting while a metal bucket is struck several times as a woman talks and birds chirp in the background alongside wind blowing into a microphone
106393,A toilet is flushing followed by a cat meowing,"A toilet is flushing, followed by a dog whining"
104667,An adult female is speaking in a quiet environment,An adult female is speaking urgently amidst the chatter of a crowded cafe and the clatter of dishes
103585,Rain pouring on a hard surface as a vehicle drives by while water splashes in the background,Rain pouring on a hard surface as a train passes by on tracks while water splashes in the background
103546,"An engine rumbles loudly, then an air horn honk three times","An engine rumbles loudly, then a two-tone marine foghorn sounds three times"
103846,A man talks in the distance followed by several vehicles driving and accelerating,"A man talks in the distance followed by several vehicles driving with a gradual, quiet acceleration"
107356,A bleeping noise followed by a loud object in use,A bleeping noise followed by a power tool in operation
24352,Multiple gun shots woman screaming,Multiple gun shots woman muffled shout
103569,Low scratching groaning,Low scratching with sharp metallic rattling
105557,Laughing and a motor running with birds chirping,The chatter of a crowd and a motor running with birds chirping
105255,Humming followed by a woman speaking and slow clicks of a sewing machine,"Humming followed by a woman speaking and rapid, consistent clicks of a sewing machine"
103712,Pigeons cooing and bird wings flapping during light scrapping on a metal surface while a construction machine operates in the background,"Pigeons cooing and bird wings flapping during continuous, heavy hammering on hollow metal while a construction machine operates in the background"
102972,A man speaking as birds chirp in the background,A man speaking as a river flows in the background
105605,Man talking and a tapping clicking,"Man talking and the steady, rapid clatter of keyboard typing"
105523,Plastic crinkling as a young girl is talking,Wooden blocks clicking and stacking as a young girl is talking
105160,A man is talking as water is running along with tapping noises,A person is humming as water is running along with tapping noises
104600,A man talks in the background while a vehicle engine revs as tires skid then accelerates,"A man talks in the background while a vehicle's electric motor hums, tires skid, then it accelerates"
104938,An electronic device buzzing followed by paper tearing and then crumpling as a bell rings before a toilet flushes,"An electronic device buzzing followed by paper tearing and then crumpling as a series of short, rapid chimes sound before a toilet flushes"
106357,A loud distorted belch followed by a series of burping,"A loud distorted belch followed by a series of rapid, gurgling sounds"
103914,"A woman speaking, followed by a child yelling","A woman speaking, followed by a child sneezing"
106762,A person snoring at a rhythmic pace,"A person snoring erratically, interrupted by occasional sharp gasps for air"
107209,A crowd of people talking followed by a vehicle engine revving then tires skidding,A crowd of people talking followed by a motorcycle engine accelerating then tires skidding
105116,A man talking while a saw is running,A man talking while a power drill is operating
106203,Dog whimpering and barking together with rustling,Cat meowing and dog barking together with rustling
105315,A man speaks followed by a vehicle revving,A man speaks followed by a car horn honking
105412,Person singing a long note and birds chirping,A choir blending in harmony on a long note while birds chirp in the background
106933,Pigeons cooing and bird wings flapping as footsteps shuffle on paper,"Pigeons cooing and bird wings flapping as a child's slow, deliberate footsteps shuffle on gravel"
105008,Singing and music with faint gunshots,Singing and music with faint firework explosions
105524,Frogs croaking and a humming with insects vocalizing,Frogs croaking and a high-pitched chirping with insects vocalizing
106569,A series of loud metal hammering as liquid drains down a pipe followed by a metal chain rattling,The sound of a faraway machine grinding as liquid drains down a pipe followed by a metal chain rattling
103859,Waves crashing onto shore followed by a man talking,"Waves crashing onto shore followed by a man talking in a deep, radio-presenter tone"
103272,High frequency vibrations with faint splashing,"High frequency vibrations with heavy, bubbling water"
107426,A man speaking as plastic is clanking followed by a door hatch opening and plastic tumbling with a vehicle engine revving in the background,A man speaking as glass breaks followed by a door hatch opening and plastic tumbling with a vehicle engine revving in the background
104741,A goat baaing normally before and after a goat screaming,"A goat baaing in a panicked, high-pitched tone before and after a goat screaming"
107079,An electronic signal followed by compressed air releasing then an electronic bell playing as a train runs on tracks in the background,"An electronic signal followed by compressed air releasing then a deep, resonant steam whistle playing as a train runs on tracks in the background"
102895,A man speaking while water is spraying into a sink and draining,A man speaking while water forcefully and turbulently sprays into a sink and drains
103507,A vehicle struggling to start with some clicks and whines,"A vehicle struggling to start with some clicks, followed by the engine turning over and idling with a rough rattle"
105211,A click occurs and then a woman speaks followed by a sewing machine stitching,A beep occurs and then a woman speaks followed by a sewing machine stitching
104161,Humming of a distant jet engine passing,Rumbling of a nearby jet engine passing overhead
3628,A car engine is revving while driving,A high-performance sports car engine is revving while driving
105234,A man speaks while water slaps on a surface,A man speaks while water flows steadily nearby
102757,A series of compressed air spraying as a motor hums in the background,Irregular rapid compressed air bursts as a motor hums in the background
107392,"A flush occurs and suctioned water splashes and gurgles, while music plays in the background","An industrial pump engages and water splashes and gurgles, while music plays in the background"
106345,Some cars passing by with people murmuring in the distance,Some large trucks or semi-trailers passing by with low rumbling engines and people murmuring in the distance
103073,Several church bells ringing,A single church bell tolling slowly
104561,Police sirens going off,Ambulance sirens going off
106034,A train emits the steam whistle sound with a hissing noise,"A train produces a deep, resonant horn blast with a hissing noise"
106025,A whistling and then an explosion and crackling,An ascending siren and then an explosion and crackling
106303,A man talking as a vehicle engine is running and wind is blowing into a microphone,"A man talking as a very faint, distant vehicle engine is running and wind is blowing into a microphone"
103948,Rubbing occurs while the electric motor runs,"Rubbing occurs while a high-pitched, whining electric motor runs"
106902,A metal clack followed by a horse neighing as gusts of wind blow and birds chirp in the background,A metal clack followed by a horse snorting and breathing heavily as gusts of wind blow and birds chirp in the background
106972,"A blaring siren from a vehicle passes by, then echoes and fades into the distance","A short, high-pitched electronic beep from a vehicle passes by, then echoes and fades into the distance"
107189,A man snoring with children speaking in the distance and a woman speaking nearby,A man snoring with children giggling softly in the distance and a woman speaking nearby
106055,Male speech and then a burp,Male speech and then a quiet sigh
105292,High pitches squealing and a horn blowing with constant humming of an engine,High pitches squealing and a distant siren wailing with constant humming of an engine
104045,A girl speaks with some rustling of grass and a distant bird chirping,A girl whispers with some rustling of grass and a distant bird chirping
